Date,Close,Percent Change,Volume
8/18/2021,3198.19,0.99%,"21,313,489,269.00"
8/19/2021,3180.86,-0.56%,"20,499,210,766.50"
8/24/2021,3125.01,-1.78%,"16,124,468,059.50"
8/25/2021,3076.45,-1.76%,"12,092,103,503.50"
8/26/2021,3094.05,0.48%,"13,421,974,791.50"
8/29/2021,3044.87,-1.56%,"15,483,687,944.50"
8/31/2021,2975.84,0.00%,"13,259,696,107.21"
9/1/2021,2977.02,0.71%,"9,351,799,654.65"
9/2/2021,2926.74,-1.66%,"9,505,970,822.34"
9/5/2021,2818.73,-3.77%,"11,240,391,044.63"
9/6/2021,2980.79,5.73%,"9,826,222,806.90"
9/7/2021,2936.61,-1.52%,"7,495,812,161.43"
9/8/2021,2876.59,-2.09%,"6,646,623,426.91"
9/9/2021,2875.98,0.02%,"7,050,770,070.49"
9/12/2021,2947.42,2.44%,"9,440,035,243.87"
9/13/2021,2947.7,-0.01%,"9,290,554,155.32"
9/14/2021,2929.29,-0.73%,"5,195,295,443.22"
9/15/2021,2889.03,-1.44%,"5,358,097,250.54"
9/16/2021,2812.39,-2.81%,"9,033,900,623.09"
9/20/2021,2698.25,-4.05%,"8,493,401,009.27"
9/21/2021,2712.07,0.37%,"7,364,798,651.77"
9/22/2021,2816.95,3.82%,"6,179,300,157.62"
9/23/2021,2819.66,0.10%,"7,726,371,029.49"
9/26/2021,2758.48,-2.20%,"6,500,117,780.43"
9/27/2021,2685.42,-2.79%,"5,120,973,095.93"
9/28/2021,2615.4,-2.92%,"5,745,488,178.57"
9/29/2021,2665.94,1.82%,"5,028,555,092.03"
9/30/2021,2633.42,-1.33%,"3,700,029,507.49"
10/3/2021,2577.5,-2.23%,"4,113,814,245.94"
10/4/2021,2570.81,-0.47%,"3,627,799,935.40"
10/5/2021,2612.65,1.43%,"2,996,819,683.01"
10/6/2021,2681.11,2.47%,"4,500,658,141.61"
10/10/2021,2662.58,-0.81%,"4,498,043,580.96"
10/11/2021,2639.38,-0.77%,"3,639,468,092.85"
10/17/2021,2656.97,0.67%,"1,497,375,370.87"
10/18/2021,2587.45,-2.73%,"2,966,899,790.82"
10/19/2021,2510.73,-2.99%,"3,777,793,666.35"
10/20/2021,2571.66,2.22%,"2,679,028,155.23"
10/21/2021,2556.96,-0.70%,"2,635,390,459.84"
10/24/2021,2584.53,1.06%,"2,773,420,134.90"
10/25/2021,2672.25,3.29%,"4,308,895,574.87"
10/26/2021,2751.07,2.79%,"6,318,340,931.64"
10/27/2021,2769.13,0.56%,"6,612,648,839.92"
